Entrez ID;Gene symbol;Present in Signature dB;CAR Matched gene;RCDdb Matched gene;COSMIC Driver;COSMIC Tier;Category Search;RCD count;RCD form;Description;Summary;Other aliases;Chromosome;Start;End;Map location;RCDdb match gene
5244;ABCB4;Yes;No;No;no driver gene;0;tumor;1;Apoptosis;ATP binding cassette subfamily B member 4;"The membrane-associated protein encoded by this gene is a member of the superfamily of ATP-binding cassette (ABC) transporters.  ABC proteins transport various molecules across extra- and intra-cellular membranes.  ABC genes are divided into seven distinct subfamilies (ABC1, MDR/TAP, MRP, ALD, OABP, GCN20, White).  This protein is a member of the MDR/TAP subfamily.  Members of the MDR/TAP subfamily are involved in multidrug resistance as well as antigen presentation.  This gene encodes a full transporter and member of the p-glycoprotein family of membrane proteins with phosphatidylcholine as its substrate.  The function of this protein has not yet been determined; however, it may involve transport of phospholipids from liver hepatocytes into bile.  Alternative splicing of this gene results in several products of undetermined function. [provided by RefSeq, Jul 2008]";ABC21, GBD1, ICP3, MDR2, MDR2/3, MDR3, PFIC-3, PGY3;7;87476026;87365895;7q21.12;No
340273;ABCB5;Yes;No;No;no driver gene;0;cancer;1;Apoptosis;ATP binding cassette subfamily B member 5;ABCB5 belongs to the ATP-binding cassette (ABC) transporter superfamily of integral membrane proteins. These proteins participate in ATP-dependent transmembrane transport of structurally diverse molecules ranging from small ions, sugars, and peptides to more complex organic molecules (Chen et al., 2005 [PubMed 15760339]).[supplied by OMIM, Mar 2008];ABCB5alpha, ABCB5beta, EST422562;7;20615666;20757007;7p21.1;No
4363;ABCC1;Yes;No;Yes;no driver gene;0;cancer;1;Apoptosis;ATP binding cassette subfamily C member 1 (ABCC1 blood group);The protein encoded by this gene is a member of the superfamily of ATP-binding cassette (ABC) transporters. ABC proteins transport various molecules across extra-and intra-cellular membranes. ABC genes are divided into seven distinct subfamilies (ABC1, MDR/TAP, MRP, ALD, OABP, GCN20, White). This full transporter is a member of the MRP subfamily which is involved in multi-drug resistance. This protein functions as a multispecific organic anion transporter, with oxidized glutatione, cysteinyl leukotrienes, and activated aflatoxin B1 as substrates. This protein also transports glucuronides and sulfate conjugates of steroid hormones and bile salts. Alternatively spliced variants of this gene have been described but their full-length nature is unknown. [provided by RefSeq, Apr 2012];ABC29, ABCC, DFNA77, GS-X, MRP, MRP1;16;15949142;16143052;16p13.11;Yes
89845;ABCC10;Yes;No;No;no driver gene;0;tumor;1;Apoptosis;ATP binding cassette subfamily C member 10;The protein encoded by this gene is a member of the superfamily of ATP-binding cassette (ABC) transporters. ABC proteins transport various molecules across extra- and intra-cellular membranes. ABC genes are divided into seven distinct subfamilies (ABC1, MDR/TAP, MRP, ALD, OABP, GCN20, and White). This ABC full-transporter is a member of the MRP subfamily which is involved in multi-drug resistance. Multiple transcript variants encoding different isoforms have been found for this gene.[provided by RefSeq, Nov 2010];EST182763, MRP7, SIMRP7;6;43427540;43451993;6p21.1;No
85320;ABCC11;Yes;No;No;no driver gene;0;tumor;1;Efferocytosis;ATP binding cassette subfamily C member 11;The protein encoded by this gene is a member of the superfamily of ATP-binding cassette (ABC) transporters. ABC proteins transport various molecules across extra- and intra-cellular membranes. ABC genes are divided into seven distinct subfamilies (ABC1, MDR/TAP, MRP, ALD, OABP, GCN20, White). This ABC full transporter is a member of the MRP subfamily which is involved in multi-drug resistance. The product of this gene participates in physiological processes involving bile acids, conjugated steroids, and cyclic nucleotides. In addition, a SNP in this gene is responsible for determination of human earwax type. This gene and family member ABCC12 are determined to be derived by duplication and are both localized to chromosome 16q12.1. Multiple alternatively spliced transcript variants have been described for this gene. [provided by RefSeq, Jul 2008];EWWD, MRP8, WW;16;48247538;48164818;16q12.1;No
1244;ABCC2;Yes;No;No;no driver gene;0;cancer;1;Apoptosis;ATP binding cassette subfamily C member 2;"The protein encoded by this gene is a member of the superfamily of ATP-binding cassette (ABC) transporters. ABC proteins transport various molecules across extra- and intra-cellular membranes. ABC genes are divided into seven distinct subfamilies (ABC1, MDR/TAP, MRP, ALD, OABP, GCN20, White). This protein is a member of the MRP subfamily which is involved in multi-drug resistance. This protein is expressed in the canalicular (apical) part of the hepatocyte and functions in biliary transport. Substrates include anticancer drugs such as vinblastine; therefore, this protein appears to contribute to drug resistance in mammalian cells. Several different mutations in this gene have been observed in patients with Dubin-Johnson syndrome (DJS), an autosomal recessive disorder characterized by conjugated hyperbilirubinemia. [provided by RefSeq, Jul 2008]";ABC30, CMOAT, DJS, MRP2, cMRP;10;99782639;99852593;10q24.2;No
10257;ABCC4;Yes;No;No;no driver gene;0;cancer;1;Apoptosis;ATP binding cassette subfamily C member 4 (PEL blood group);The protein encoded by this gene is a member of the superfamily of ATP-binding cassette (ABC) transporters. ABC proteins transport various molecules across extra- and intra-cellular membranes. ABC genes are divided into seven distinct subfamilies (ABC1, MDR/TAP, MRP, ALD, OABP, GCN20, White). This protein is a member of the MRP subfamily which is involved in multi-drug resistance. This family member plays a role in cellular detoxification as a pump for its substrate, organic anions. It may also function in prostaglandin-mediated cAMP signaling in ciliogenesis. Alternative splicing of this gene results in multiple transcript variants. [provided by RefSeq, Sep 2014];MOAT-B, MOATB, MRP4;13;95301450;95019834;13q32.1;No
10057;ABCC5;Yes;No;Yes;no driver gene;0;tumor;1;Ferroptosis;ATP binding cassette subfamily C member 5;The protein encoded by this gene is a member of the superfamily of ATP-binding cassette (ABC) transporters. ABC proteins transport various molecules across extra- and intra-cellular membranes. ABC genes are divided into seven distinct subfamilies (ABC1, MDR/TAP, MRP, ALD, OABP, GCN20, White). This protein is a member of the MRP subfamily which is involved in multi-drug resistance. This protein functions in the cellular export of its substrate, cyclic nucleotides. This export contributes to the degradation of phosphodiesterases and possibly an elimination pathway for cyclic nucleotides. Studies show that this protein provides resistance to thiopurine anticancer drugs, 6-mercatopurine and thioguanine, and the anti-HIV drug 9-(2-phosphonylmethoxyethyl)adenine. This protein may be involved in resistance to thiopurines in acute lymphoblastic leukemia and antiretroviral nucleoside analogs in HIV-infected patients. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Feb 2016];ABC33, EST277145, MOAT-C, MOATC, MRP5, SMRP, pABC11;3;184017883;183919933;3q27.1;Yes
6833;ABCC8;Yes;No;No;no driver gene;0;cancer;1;Necrosis;ATP binding cassette subfamily C member 8;The protein encoded by this gene is a member of the superfamily of ATP-binding cassette (ABC) transporters. ABC proteins transport various molecules across extra- and intra-cellular membranes. ABC genes are divided into seven distinct subfamilies (ABC1, MDR/TAP, MRP, ALD, OABP, GCN20, White). This protein is a member of the MRP subfamily which is involved in multi-drug resistance. This protein functions as a modulator of ATP-sensitive potassium channels and insulin release. Mutations in the ABCC8 gene and deficiencies in the encoded protein have been observed in patients with hyperinsulinemic hypoglycemia of infancy, an autosomal recessive disorder of unregulated and high insulin secretion. Mutations have also been associated with non-insulin-dependent diabetes mellitus type II, an autosomal dominant disease of defective insulin secretion. Alternatively spliced transcript variants have been found for this gene. [provided by RefSeq, Jul 2020];ABC36, HHF1, HI, HRINS, MRP8, PHHI, PNDM3, SUR, SUR1, SUR1delta2, TNDM2;11;17476844;17392497;11p15.1;No
6059;ABCE1;Yes;No;No;no driver gene;0;tumor;2;Apoptosis/Autophagy;ATP binding cassette subfamily E member 1;The protein encoded by this gene is a member of the superfamily of ATP-binding cassette (ABC) transporters. ABC proteins transport various molecules across extra- and intra-cellular membranes. ABC genes are divided into seven distinct subfamilies (ABC1, MDR/TAP, MRP, ALD, OABP, GCN20, White). This protein is a member of the OABP subfamily. Alternatively referred to as the RNase L inhibitor, this protein functions to block the activity of ribonuclease L. Activation of ribonuclease L leads to inhibition of protein synthesis in the 2-5A/RNase L system, the central pathway for viral interferon action. Two transcript variants encoding the same protein have been found for this gene. [provided by RefSeq, Jul 2008];ABC38, OABP, RLI, RLI1, RNASEL1, RNASELI, RNS4I;4;145098310;145129523;4q31.21;No
23;ABCF1;Yes;No;No;no driver gene;0;cancer;1;Necrosis;ATP binding cassette subfamily F member 1;The protein encoded by this gene is a member of the superfamily of ATP-binding cassette (ABC) transporters. ABC proteins transport various molecules across extra- and intra-cellular membranes. ABC genes are divided into seven distinct subfamilies (ABC1, MDR/TAP, MRP, ALD, OABP, GCN20, White). This protein is a member of the GCN20 subfamily. Unlike other members of the superfamily, this protein lacks the transmembrane domains which are characteristic of most ABC transporters. This protein may be regulated by tumor necrosis factor-alpha and play a role in enhancement of protein synthesis and the inflammation process. [provided by RefSeq, Jul 2008];ABC27, ABC50;6;30571441;30591521;6p21.33;No
10061;ABCF2;Yes;No;No;no driver gene;0;tumor;1;Apoptosis;ATP binding cassette subfamily F member 2;This gene encodes a member of the ATP-binding cassette (ABC) transporter superfamily. ATP-binding cassette proteins transport various molecules across extra- and intracellular membranes. Alterations in this gene may be involved in cancer progression. Related pseudogenes have been identified on chromosomes 3 and 7. [provided by RefSeq, Mar 2019];ABC28, EST133090, HUSSY-18, HUSSY18;7;151227204;151211483;7q36.1;No
9619;ABCG1;Yes;No;No;no driver gene;0;tumor;3;Apoptosis/Autophagy/Efferocytosis;ATP binding cassette subfamily G member 1;The protein encoded by this gene is a member of the superfamily of ATP-binding cassette (ABC) transporters. ABC proteins transport various molecules across extra- and intra-cellular membranes. ABC genes are divided into seven distinct subfamilies (ABC1, MDR/TAP, MRP, ALD, OABP, GCN20, White). This protein is a member of the White subfamily. It is involved in macrophage cholesterol and phospholipids transport, and may regulate cellular lipid homeostasis in other cell types. Six alternative splice variants have been identified. [provided by RefSeq, Jul 2008];ABC8, WHITE1;21;42199688;42297243;21q22.3;No
9429;ABCG2;Yes;No;No;no driver gene;0;tumor;1;Apoptosis;ATP binding cassette subfamily G member 2 (JR blood group);The membrane-associated protein encoded by this gene is included in the superfamily of ATP-binding cassette (ABC) transporters. ABC proteins transport various molecules across extra- and intra-cellular membranes. ABC genes are divided into seven distinct subfamilies (ABC1, MDR/TAP, MRP, ALD, OABP, GCN20, White). This protein is a member of the White subfamily. Alternatively referred to as a breast cancer resistance protein, this protein functions as a xenobiotic transporter which may play a major role in multi-drug resistance. It likely serves as a cellular defense mechanism in response to mitoxantrone and anthracycline exposure. Significant expression of this protein has been observed in the placenta, which may suggest a potential role for this molecule in placenta tissue. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Apr 2012];ABC15, ABCP, BCRP, BCRP1, BMDP, CD338, CDw338, CDw388, EST157481, GOUT1, MRX, MXR, MXR-1, MXR1, UAQTL1;4;88231625;88090263;4q22.1;No
7920;ABHD16A;Yes;No;No;no driver gene;0;cancer;1;Necrosis;abhydrolase domain containing 16A, phospholipase;A cluster of genes, BAT1-BAT5, has been localized in the vicinity of the genes for tumor necrosis factor alpha and tumor necrosis factor beta. These genes are all within the human major histocompatibility complex class III region. The protein encoded by this gene is thought to be involved in some aspects of immunity. Alternatively spliced transcript variants have been described. [provided by RefSeq, Apr 2010];BAT5, D6S82E, NG26, PP199, SPG86, hBAT5;6;31703323;31686954;6p21.33;No
51099;ABHD5;Yes;No;Yes;no driver gene;0;tumor;1;Autophagy;abhydrolase domain containing 5, lysophosphatidic acid acyltransferase;The protein encoded by this gene belongs to a large family of proteins defined by an alpha/beta hydrolase fold, and contains three sequence motifs that correspond to a catalytic triad found in the esterase/lipase/thioesterase subfamily. It differs from other members of this subfamily in that its putative catalytic triad contains an asparagine instead of the serine residue. Mutations in this gene have been associated with Chanarin-Dorfman syndrome, a triglyceride storage disease with impaired long-chain fatty acid oxidation. [provided by RefSeq, Jul 2008];CGI58, IECN2, NCIE2;3;43690869;43734370;3p21.33;Yes
51225;ABI3;Yes;No;No;no driver gene;0;tumor;1;Cellular senescence;ABI family member 3;This gene encodes a member of an adaptor protein family. Members of this family encode proteins containing a homeobox homology domain, proline rich region and Src-homology 3 (SH3) domain, and are components of the Abi/WAVE complex which regulates actin polymerization. The encoded protein inhibits ectopic metastasis of tumor cells as well as cell migration. This may be accomplished through interaction with p21-activated kinase. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Sep 2013];NESH, SSH3BP3;17;49210706;49223224;17q21.32;No
25890;ABI3BP;Yes;No;No;no driver gene;0;tumor;1;Cellular senescence;ABI family member 3 binding protein;"Predicted to enable actin filament binding activity and glycosaminoglycan binding activity. Predicted to be involved in regulation of actin cytoskeleton reorganization; regulation of dendritic spine morphogenesis; and regulation of postsynaptic density assembly. Predicted to act upstream of or within extracellular matrix organization and positive regulation of cell-substrate adhesion. Located in extracellular space. Colocalizes with collagen-containing extracellular matrix. [provided by Alliance of Genome Resources, Apr 2022]";NESHBP, TARSH;3;100993420;100749155;3q12.2;No
25;ABL1;Yes;No;Yes;driver gene;2;tumor;4;Apoptosis/Autophagy/Cellular senescence/Pyroptosis;ABL proto-oncogene 1, non-receptor tyrosine kinase;"This gene is a protooncogene that encodes a protein tyrosine kinase involved in a variety of cellular processes, including cell division, adhesion, differentiation, and response to stress. The activity of the protein is negatively regulated by its SH3 domain, whereby deletion of the region encoding this domain results in an oncogene. The ubiquitously expressed protein has DNA-binding activity that is regulated by CDC2-mediated phosphorylation, suggesting a cell cycle function. This gene has been found fused to a variety of translocation partner genes in various leukemias, most notably the t(9;22) translocation that results in a fusion with the 5' end of the breakpoint cluster region gene (BCR; MIM:151410). Alternative splicing of this gene results in two transcript variants, which contain alternative first exons that are spliced to the remaining common exons. [provided by RefSeq, Aug 2014]";ABL, BCR-ABL, CHDSKM, JTK7, bcr/abl, c-ABL, c-ABL1, p150, v-abl;9;130713042;130887674;9q34.12;Yes
27;ABL2;Yes;No;Yes;driver gene;1;cancer;2;Apoptosis/Autophagy;ABL proto-oncogene 2, non-receptor tyrosine kinase;This gene encodes a member of the Abelson family of nonreceptor tyrosine protein kinases. The protein is highly similar to the c-abl oncogene 1 protein, including the tyrosine kinase, SH2 and SH3 domains, and it plays a role in cytoskeletal rearrangements through its C-terminal F-actin- and microtubule-binding sequences. This gene is expressed in both normal and tumor cells, and is involved in translocation with the ets variant 6 gene in leukemia. Multiple alternatively spliced transcript variants encoding different protein isoforms have been found for this gene. [provided by RefSeq, Nov 2009];ABLL, ARG;1;179229676;179099329;1q25.2;Yes
28;ABO;Yes;No;No;no driver gene;0;tumor;1;Apoptosis;ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase;This gene encodes proteins related to the first discovered blood group system, ABO. Variation in the ABO gene (chromosome 9q34.2) is the basis of the ABO blood group, thus the presence of an allele determines the blood group in an individual. The 'O' blood group is caused by a deletion of guanine-258 near the N-terminus of the protein which results in a frameshift and translation of an almost entirely different protein. Individuals with the A, B, and AB alleles express glycosyltransferase activities that convert the H antigen into the A or B antigen. Other minor alleles have been found for this gene. [provided by RefSeq, Apr 2022];A3GALNT, A3GALT1, GTB, NAGAT;9;133275200;133250400;9q34.2;No
23172;ABRAXAS2;No;No;No;no driver gene;0;tumor;1;Apoptosis;abraxas 2, BRISC complex subunit;"Enables microtubule binding activity and polyubiquitin modification-dependent protein binding activity. Involved in several processes, including mitotic spindle assembly; protein K63-linked deubiquitination; and response to ischemia. Located in cytoplasm. Part of BRISC complex. Colocalizes with microtubule minus-end; midbody; and spindle pole centrosome. [provided by Alliance of Genome Resources, Apr 2022]";ABRO1, FAM175B, KIAA0157;10;124801818;124836666;10q26.13;No
10449;ACAA2;Yes;No;Yes;no driver gene;0;cancer;1;Apoptosis;acetyl-CoA acyltransferase 2;The encoded protein catalyzes the last step of the mitochondrial fatty acid beta-oxidation spiral. Unlike most mitochondrial matrix proteins, it contains a non-cleavable amino-terminal targeting signal. [provided by RefSeq, Jul 2008];DSAEC, T1;18;49813532;49782163;18q21.1;Yes
32;ACACB;Yes;No;No;no driver gene;0;tumor;1;Autophagy;acetyl-CoA carboxylase beta;Acetyl-CoA carboxylase (ACC) is a complex multifunctional enzyme system. ACC is a biotin-containing enzyme which catalyzes the carboxylation of acetyl-CoA to malonyl-CoA, the rate-limiting step in fatty acid synthesis. ACC-beta is thought to control fatty acid oxidation by means of the ability of malonyl-CoA to inhibit carnitine-palmitoyl-CoA transferase I, the rate-limiting step in fatty acid uptake and oxidation by mitochondria. ACC-beta may be involved in the regulation of fatty acid oxidation, rather than fatty acid biosynthesis. [provided by RefSeq, Oct 2022];ACACbeta, ACC-beta, ACC2, ACCB, ACCbeta, HACC275;12;109111188;109268225;12q24.11;No
36;ACADSB;Yes;No;Yes;no driver gene;0;tumor;1;Ferroptosis;acyl-CoA dehydrogenase short/branched chain;Short/branched chain acyl-CoA dehydrogenase(ACADSB) is a member of the acyl-CoA dehydrogenase family of enzymes that catalyze the dehydrogenation of acyl-CoA derivatives in the metabolism of fatty acids or branch chained amino acids. Substrate specificity is the primary characteristic used to define members of this gene family. The ACADSB gene product has the greatest activity towards the short branched chain acyl-CoA derivative, (S)-2-methylbutyryl-CoA, but also reacts significantly with other 2-methyl branched chain substrates and with short straight chain acyl-CoAs. The cDNA encodes for a mitochondrial precursor protein which is cleaved upon mitochondrial import and predicted to yield a mature peptide of approximately 43.7-KDa. [provided by RefSeq, Jul 2008];2-MEBCAD, ACAD7, SBCAD;10;123009005;123058289;10q26.13;Yes
38;ACAT1;Yes;No;No;no driver gene;0;cancer;2;Apoptosis/Autophagy;acetyl-CoA acetyltransferase 1;This gene encodes a mitochondrially localized enzyme that catalyzes the reversible formation of acetoacetyl-CoA from two molecules of acetyl-CoA. Defects in this gene are associated with 3-ketothiolase deficiency, an inborn error of isoleucine catabolism characterized by urinary excretion of 2-methyl-3-hydroxybutyric acid, 2-methylacetoacetic acid, tiglylglycine, and butanone. [provided by RefSeq, Feb 2009];ACAT;11;108116695;108147603;q22.3;No
91452;ACBD5;Yes;No;Yes;no driver gene;0;cancer;1;Autophagy;acyl-CoA binding domain containing 5;This gene encodes a member of the acyl-Coenzyme A binding protein family, known to function in the transport and distribution of long chain acyl-Coenzyme A in cells. This gene may play a role in the differentiation of megakaryocytes and formation of platelets. A related protein in yeast is involved in autophagy of peroxisomes. A mutation in this gene has been associated with autosomal dominant thrombocytopenia. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jul 2014];RDLKD;10;27242110;27182837;10p12.1;Yes
65057;ACD;Yes;No;No;no driver gene;0;cancer;2;Apoptosis/Cellular senescence;ACD shelterin complex subunit and telomerase recruitment factor;This gene encodes a protein that is involved in telomere function. This protein is one of six core proteins in the telosome/shelterin telomeric complex, which functions to maintain telomere length and to protect telomere ends. Through its interaction with other components, this protein plays a key role in the assembly and stabilization of this complex, and it mediates the access of telomerase to the telomere. Multiple transcript variants encoding different isoforms have been found for this gene. This gene, which is also referred to as TPP1, is distinct from the unrelated TPP1 gene on chromosome 11, which encodes tripeptidyl-peptidase I. [provided by RefSeq, Jul 2008];PIP1, PTOP, TINT1, TPP1;16;67660259;67657511;16q22.1;No
1636;ACE;Yes;No;No;no driver gene;0;tumor;2;Apoptosis/Necrosis;angiotensin I converting enzyme;This gene encodes an enzyme involved in blood pressure regulation and electrolyte balance. It catalyzes the conversion of angiotensin I into a physiologically active peptide angiotensin II. Angiotensin II is a potent vasopressor and aldosterone-stimulating peptide that controls blood pressure and fluid-electrolyte balance. This angiotensin converting enzyme (ACE) also inactivates the vasodilator protein, bradykinin. Accordingly, the encoded enzyme increases blood pressure and is a drug target of ACE inhibitors, which are often prescribed to reduce blood pressure. This enzyme additionally plays a role in fertility through its ability to cleave and release GPI-anchored membrane proteins in spermatozoa. Many studies have associated the presence or absence of a 287 bp Alu repeat element in this gene with the levels of circulating enzyme. This polymorphism, as well as mutations in this gene, have been implicated in a wide variety of diseases including cardiovascular pathophysiologies, psoriasis, renal disease, stroke, and Alzheimer's disease. Regulation of the homologous ACE2 gene may be involved in progression of disease caused by several human coronaviruses, including SARS-CoV and SARS-CoV-2. Alternative splicing results in multiple transcript variants encoding both somatic (sACE) and male-specific testicular (tACE) isoforms. [provided by RefSeq, Sep 2020];ACE1, CD143, DCP, DCP1;17;63477060;63498372;17q23.3;No
59272;ACE2;Yes;No;No;no driver gene;0;cancer;2;Apoptosis/Autophagy;angiotensin converting enzyme 2;The protein encoded by this gene belongs to the angiotensin-converting enzyme family of dipeptidyl carboxydipeptidases and has considerable homology to human angiotensin 1 converting enzyme. This secreted protein catalyzes the cleavage of angiotensin I into angiotensin 1-9, and angiotensin II into the vasodilator angiotensin 1-7. ACE2 is known to be expressed in various human organs, and its organ- and cell-specific expression suggests that it may play a role in the regulation of cardiovascular and renal function, as well as fertility. In addition, the encoded protein is a functional receptor for the spike glycoprotein of the human coronavirus HCoV-NL63 and the human severe acute respiratory syndrome coronaviruses, SARS-CoV and SARS-CoV-2, the latter is the causative agent of coronavirus disease-2019 (COVID-19). Multiple splice variants have been found for this gene and the dACE2 (or MIRb-ACE2) splice variant has been found to be interferon inducible. [provided by RefSeq, Nov 2020];ACEH;X;15607210;15518196;Xp22.2;No
340485;ACER2;Yes;No;Yes;no driver gene;0;cancer;2;Apoptosis/Autophagy;alkaline ceramidase 2;The sphingolipid metabolite sphingosine-1-phosphate promotes cell proliferation and survival, whereas its precursor, sphingosine, has the opposite effect. The ceramidase ACER2 hydrolyzes very long chain ceramides to generate sphingosine (Xu et al., 2006 [PubMed 16940153]).[supplied by OMIM, Jul 2010];ALKCDase2, ASAH3L;9;19409008;19452504;9p22.1;Yes
