"Feature","Biological Layer","Total Cohorts","Cohorts Present","Total Algorithms","Algorithms Validating","Nomenclature","Signature","Elements","CTAB","GSI","GFC","PFC","SCS","TNC","HRC","SMC","TMC","TIC","RCD","Combined Outcome","Protective Count","Risky Count","NS Count","RCD form","Omic feature","Phenotype","Expression","RSF Importance","RSF Validation","Boruta Importance","Boruta Validation","XGBoost Importance","XGBoost Validation","MTLR Importance","MTLR Validation","Total Validated Algorithms"
"STAD-274.7.3.P.3.35.64.2.4.2","CpG Methylation",4,"STAD_DFI_df157, STAD_DSS_df157, STAD_OS_df157, STAD_PFI_df157",4,"XGBoost, Boruta, RSF, MTLR","STAD-274.7.3.P.3.35.64.2.4.2","(COMMD10 + MEF2C)",2,"STAD",274,7,3,"P",3,35,64,2,4,2,"Risky",0,3,1,"Apoptosis/Ferroptosis","Methylation","TSM","Overexpression",0.00893500349732615,"Validated (>0.005)",16.2041939171097,"Validated (>0.005)",0.0135740783311,"Validated (>0.005)",0.0641396373132006,"Validated (>0.005)",4
"SARC-188.1.3.P.3.44.44.2.4.3","Protein",4,"SARC_DFI_df305, SARC_DSS_df305, SARC_OS_df305, SARC_PFI_df305",4,"Boruta, XGBoost, RSF, MTLR","SARC-188.1.3.P.3.44.44.2.4.3","CHK1",1,"SARC",188,1,3,"P",3,44,44,2,4,3,"Meaningful Risky",0,4,0,"Apoptosis/Autophagy/Mitotic catastrophe","Protein","TSM","Overexpression",0.0141124287814404,"Validated (>0.005)",9.40516089839801,"Validated (>0.005)",0.031742127445987,"Validated (>0.005)",0.107118389106563,"Validated (>0.005)",4
"BLCA-170.5.3.P.3.35.35.1.4.2","Transcript",4,"BLCA_DFI_df155, BLCA_DSS_df155, BLCA_OS_df155, BLCA_PFI_df155",4,"XGBoost, Boruta, RSF, MTLR","BLCA-170.5.3.P.3.35.35.1.4.2","(ENST00000217426 + ENST00000234590)",2,"BLCA",170,5,3,"P",3,35,35,1,4,2,"Risky",0,3,1,"Apoptosis/Ferroptosis","Transcript","TSM","Overexpression",0.00610917476701203,"Validated (>0.005)",18.6779243825264,"Validated (>0.005)",0.00899102778931257,"Validated (>0.005)",0.102932296696568,"Validated (>0.005)",4
"BLCA-202.5.3.N.2.31.31.2.4.1","Transcript",4,"BLCA_DFI_df155, BLCA_DSS_df155, BLCA_OS_df155, BLCA_PFI_df155",4,"Boruta, XGBoost, RSF, MTLR","BLCA-202.5.3.N.2.31.31.2.4.1","(ENST00000295228 + ENST00000278071)",2,"BLCA",202,5,3,"N",2,31,31,2,4,1,"Risky",0,2,2,"Anoikis","Transcript","TSM","Underexpression",0.0113802011247566,"Validated (>0.005)",9.91144595769578,"Validated (>0.005)",0.0219393126350209,"Validated (>0.005)",0.949178871980318,"Validated (>0.005)",4
"BLCA-293.5.3.N.2.44.44.1.4.1","Transcript",4,"BLCA_DFI_df155, BLCA_DSS_df155, BLCA_OS_df155, BLCA_PFI_df155",4,"XGBoost, RSF, Boruta, MTLR","BLCA-293.5.3.N.2.44.44.1.4.1","(ENST00000409363 + ENST00000588684 + ENST00000258341)",3,"BLCA",293,5,3,"N",2,44,44,1,4,1,"Meaningful Risky",0,4,0,"Apoptosis","Transcript","TSM","Underexpression",0.0127727623233358,"Validated (>0.005)",24.464088374021,"Validated (>0.005)",0.0235162852350788,"Validated (>0.005)",0.112173005173111,"Validated (>0.005)",4
"BLCA-434.5.3.N.2.14.11.1.4.1","Transcript",4,"BLCA_DFI_df155, BLCA_DSS_df155, BLCA_OS_df155, BLCA_PFI_df155",4,"Boruta, XGBoost, RSF, MTLR","BLCA-434.5.3.N.2.14.11.1.4.1","(ENST00000630684 + ENST00000373698)",2,"BLCA",434,5,3,"N",2,14,11,1,4,1,"Risky",0,2,2,"Apoptosis","Transcript","TSM","Underexpression",0.0419429420527129,"Validated (>0.005)",7.2589219154525,"Validated (>0.005)",0.0348157842136629,"Validated (>0.005)",1.51507292025928,"Validated (>0.005)",4
"BLCA-788.5.3.N.1.26.26.3.4.2","Transcript",4,"BLCA_DFI_df155, BLCA_DSS_df155, BLCA_OS_df155, BLCA_PFI_df155",4,"Boruta, XGBoost, RSF, MTLR","BLCA-788.5.3.N.1.26.26.3.4.2","ENST00000290863",1,"BLCA",788,5,3,"N",1,26,26,3,4,2,"Protective",2,0,2,"Apoptosis/Necrosis","Transcript","TSM","Unchanged",0.0149393690098677,"Validated (>0.005)",7.79309709522714,"Validated (>0.005)",0.0149639665493258,"Validated (>0.005)",1.45647236720694,"Validated (>0.005)",4
"BRCA-491.5.3.N.2.95.95.1.4.1","Transcript",4,"BRCA_DFI_df008, BRCA_DSS_df008, BRCA_OS_df008, BRCA_PFI_df008",4,"XGBoost, RSF, Boruta, MTLR","BRCA-491.5.3.N.2.95.95.1.4.1","(ENST00000309950 + ENST00000296522 + ENST00000366784 + ENST00000360830 + ENST00000394455)",5,"BRCA",491,5,3,"N",2,95,95,1,4,1,"Meaningful Protective",4,0,0,"Autophagy","Transcript","TSM","Underexpression",0.00876870466827534,"Validated (>0.005)",27.1935562268076,"Validated (>0.005)",0.0228600872333598,"Validated (>0.005)",0.169424971777384,"Validated (>0.005)",4
"BRCA-737.5.3.N.2.95.92.1.4.2","Transcript",4,"BRCA_DFI_df008, BRCA_DSS_df008, BRCA_OS_df008, BRCA_PFI_df008",4,"XGBoost, RSF, Boruta, MTLR","BRCA-737.5.3.N.2.95.92.1.4.2","(ENST00000467728 + ENST00000441012 + ENST00000471369 + ENST00000481353 + ENST00000394409 + ENST00000443624 + ENST00000266066 + ENST00000472566)",8,"BRCA",737,5,3,"N",2,95,92,1,4,2,"Meaningful Protective",4,0,0,"Apoptosis/Autophagy","Transcript","TSM","Underexpression",0.0126641730490661,"Validated (>0.005)",27.8597974031774,"Validated (>0.005)",0.0120697141116034,"Validated (>0.005)",0.184454459253194,"Validated (>0.005)",4
"BRCA-894.5.3.P.3.93.7.1.4.1","Transcript",4,"BRCA_DFI_df008, BRCA_DSS_df008, BRCA_OS_df008, BRCA_PFI_df008",4,"Boruta, XGBoost, RSF, MTLR","BRCA-894.5.3.P.3.93.7.1.4.1","(ENST00000535307 + ENST00000311161)",2,"BRCA",894,5,3,"P",3,93,7,1,4,1,"Protective",3,0,1,"Apoptosis","Transcript","TSM","Overexpression",0.0107723769824729,"Validated (>0.005)",20.8858393841299,"Validated (>0.005)",0.0149575957136857,"Validated (>0.005)",0.0129869716895008,"Validated (>0.005)",4
"CESC-515.5.3.P.3.71.7.4.4.3","Transcript",4,"CESC_DFI_df017, CESC_DSS_df017, CESC_OS_df017, CESC_PFI_df017",4,"XGBoost, Boruta, RSF, MTLR","CESC-515.5.3.P.3.71.7.4.4.3","ENST00000347617",1,"CESC",515,5,3,"P",3,71,7,4,4,3,"Protective",3,0,1,"Anoikis/Apoptosis/Cellular senescence","Transcript","TSM","Overexpression",0.00539580087001344,"Validated (>0.005)",12.0628683324696,"Validated (>0.005)",0.00514853217511578,"Validated (>0.005)",1.13104404271618,"Validated (>0.005)",4
"CESC-592.5.3.N.2.15.1.2.4.3","Transcript",4,"CESC_DFI_df017, CESC_DSS_df017, CESC_OS_df017, CESC_PFI_df017",4,"XGBoost, RSF, Boruta, MTLR","CESC-592.5.3.N.2.15.1.2.4.3","ENST00000480413",1,"CESC",592,5,3,"N",2,15,1,2,4,3,"Risky",0,3,1,"Anoikis/Apoptosis/Autophagy","Transcript","TSM","Underexpression",0.0156191769926987,"Validated (>0.005)",12.8486080020993,"Validated (>0.005)",0.018570580815769,"Validated (>0.005)",0.156256360647402,"Validated (>0.005)",4
"ESCA-157.5.3.P.1.35.1.4.4.2","Transcript",4,"ESCA_DFI_df017, ESCA_DSS_df017, ESCA_OS_df017, ESCA_PFI_df017",4,"XGBoost, Boruta, RSF, MTLR","ESCA-157.5.3.P.1.35.1.4.4.2","(ENST00000481733 + ENST00000595974)",2,"ESCA",157,5,3,"P",1,35,1,4,4,2,"Risky",0,3,1,"Apoptosis/Autophagy","Transcript","TSM","Unchanged",0.0119806746924706,"Validated (>0.005)",10.1545765405753,"Validated (>0.005)",0.0187810192313576,"Validated (>0.005)",0.19808654766336,"Validated (>0.005)",4
"ESCA-163.5.3.P.3.20.20.2.4.1","Transcript",4,"ESCA_DFI_df017, ESCA_DSS_df017, ESCA_OS_df017, ESCA_PFI_df017",4,"Boruta, XGBoost, RSF, MTLR","ESCA-163.5.3.P.3.20.20.2.4.1","(ENST00000496679 + ENST00000341446 + ENST00000324953 + ENST00000327331 + ENST00000473706 + ENST00000562233 + ENST00000620384 + ENST00000394209 + ENST00000309156 + ENST00000357325 + ENST00000357065 + ENST00000421471 + ENST00000293362 + ENST00000374168 + ENST00000513838 + ENST00000550407 + ENST00000265351)",17,"ESCA",163,5,3,"P",3,20,20,2,4,1,"Protective",1,0,3,"Apoptosis","Transcript","TSM","Overexpression",0.0555017379668494,"Validated (>0.005)",5.06404562424718,"Validated (>0.005)",0.0396532649085513,"Validated (>0.005)",0.396090830075101,"Validated (>0.005)",4
"ESCA-369.5.3.P.3.26.20.4.4.5","Transcript",4,"ESCA_DFI_df017, ESCA_DSS_df017, ESCA_OS_df017, ESCA_PFI_df017",4,"Boruta, XGBoost, RSF, MTLR","ESCA-369.5.3.P.3.26.20.4.4.5","ENST00000247668",1,"ESCA",369,5,3,"P",3,26,20,4,4,5,"Protective",2,0,2,"Anoikis/Apoptosis/Autophagy/Necroptosis/Necrosis","Transcript","TSM","Overexpression",0.0139930575766565,"Validated (>0.005)",3.95543282333285,"Validated (>0.005)",0.0221786618811012,"Validated (>0.005)",0.405815708359005,"Validated (>0.005)",4
"HNSC-447.5.3.N.3.11.11.3.2.1","Transcript",4,"HNSC_DFI_df017, HNSC_DSS_df017, HNSC_OS_df017, HNSC_PFI_df017",4,"Boruta, XGBoost, RSF, MTLR","HNSC-447.5.3.N.3.11.11.3.2.1","(ENST00000528368 + ENST00000619721 + ENST00000243347)",3,"HNSC",447,5,3,"N",3,11,11,3,2,1,"Risky",0,1,3,"Necrosis","Transcript","TSM","Overexpression",0.00917250060430043,"Validated (>0.005)",5.6299833378513,"Validated (>0.005)",0.0240936630268765,"Validated (>0.005)",0.113599823104384,"Validated (>0.005)",4
"KIRC-1449.5.3.N.3.13.78.3.4.3","Transcript",4,"KIRC_DFI_df161, KIRC_DSS_df161, KIRC_OS_df161, KIRC_PFI_df161",4,"Boruta, XGBoost, RSF, MTLR","KIRC-1449.5.3.N.3.13.78.3.4.3","ENST00000504325",1,"KIRC",1449,5,3,"N",3,13,78,3,4,3,"Mixed",1,1,2,"Apoptosis/Autophagy/Necrosis","Transcript","TSM","Overexpression",0.0211679594142144,"Validated (>0.005)",2.62271370322544,"Validated (>0.005)",0.0254362800995891,"Validated (>0.005)",0.414688153272535,"Validated (>0.005)",4
"KIRC-258.5.1.P.3.35.35.3.4.2","Transcript",4,"KIRC_DFI_df161, KIRC_DSS_df161, KIRC_OS_df161, KIRC_PFI_df161",4,"XGBoost, Boruta, RSF, MTLR","KIRC-258.5.1.P.3.35.35.3.4.2","(ENST00000300403 + ENST00000166345)",2,"KIRC",258,5,1,"P",3,35,35,3,4,2,"Risky",0,3,1,"Apoptosis/Autophagy","Transcript","TMB","Overexpression",0.00533070883124932,"Validated (>0.005)",20.0512535734888,"Validated (>0.005)",0.00920289722385706,"Validated (>0.005)",0.036441194851081,"Validated (>0.005)",4
"KIRC-281.5.3.N.3.11.78.3.4.1","Transcript",4,"KIRC_DFI_df161, KIRC_DSS_df161, KIRC_OS_df161, KIRC_PFI_df161",4,"Boruta, XGBoost, RSF, MTLR","KIRC-281.5.3.N.3.11.78.3.4.1","(ENST00000322008 + ENST00000435907 + ENST00000590657 + ENST00000519243 + ENST00000511112 + ENST00000397638 + ENST00000407433 + ENST00000255499 + ENST00000305557 + ENST00000543982)",10,"KIRC",281,5,3,"N",3,11,78,3,4,1,"Risky",0,1,3,"Apoptosis","Transcript","TSM","Overexpression",0.0056498519280168,"Validated (>0.005)",2.31553933350066,"Validated (>0.005)",0.0262330324945856,"Validated (>0.005)",0.325943206015275,"Validated (>0.005)",4
"KIRC-448.5.3.N.3.55.35.3.4.1","Transcript",4,"KIRC_DFI_df161, KIRC_DSS_df161, KIRC_OS_df161, KIRC_PFI_df161",4,"Boruta, RSF, MTLR, XGBoost","KIRC-448.5.3.N.3.55.35.3.4.1","(ENST00000473258 + ENST00000465670 + ENST00000468611 + ENST00000465204 + ENST00000490241 + ENST00000485763)",6,"KIRC",448,5,3,"N",3,55,35,3,4,1,"Mixed",1,3,0,"Apoptosis","Transcript","TSM","Overexpression",0.00677906951738934,"Validated (>0.005)",1.69267481454764,"Validated (>0.005)",0.00552437757090937,"Validated (>0.005)",0.208831534427847,"Validated (>0.005)",4
"KIRC-628.5.3.N.3.26.69.3.4.1","Transcript",4,"KIRC_DFI_df161, KIRC_DSS_df161, KIRC_OS_df161, KIRC_PFI_df161",4,"Boruta, RSF, MTLR, XGBoost","KIRC-628.5.3.N.3.26.69.3.4.1","(ENST00000586615 + ENST00000487344 + ENST00000462661)",3,"KIRC",628,5,3,"N",3,26,69,3,4,1,"Protective",2,0,2,"Apoptosis","Transcript","TSM","Overexpression",0.0104100541893493,"Validated (>0.005)",2.44914404861416,"Validated (>0.005)",0.00724794393150272,"Validated (>0.005)",0.313038901990336,"Validated (>0.005)",4
"KIRP-139.5.3.N.1.44.47.3.4.3","Transcript",4,"KIRP_DFI_df377, KIRP_DSS_df377, KIRP_OS_df377, KIRP_PFI_df377",4,"XGBoost, RSF, Boruta, MTLR","KIRP-139.5.3.N.1.44.47.3.4.3","(ENST00000225964 + ENST00000511732)",2,"KIRP",139,5,3,"N",1,44,47,3,4,3,"Meaningful Risky",0,4,0,"Apoptosis/Autophagy/Necrosis","Transcript","TSM","Unchanged",0.00967849177667476,"Validated (>0.005)",1.46998716407874,"Validated (>0.005)",0.0198707249187476,"Validated (>0.005)",0.0186972515606139,"Validated (>0.005)",4
"KIRP-143.5.3.P.3.44.58.3.2.1","Transcript",4,"KIRP_DFI_df377, KIRP_DSS_df377, KIRP_OS_df377, KIRP_PFI_df377",4,"Boruta, XGBoost, RSF, MTLR","KIRP-143.5.3.P.3.44.58.3.2.1","(ENST00000233893 + ENST00000409468 + ENST00000264596 + ENST00000393196 + ENST00000589913 + ENST00000592540)",6,"KIRP",143,5,3,"P",3,44,58,3,2,1,"Meaningful Risky",0,4,0,"Apoptosis","Transcript","TSM","Overexpression",0.034026497680145,"Validated (>0.005)",4.15141799933611,"Validated (>0.005)",0.0341409024421018,"Validated (>0.005)",0.0572470716579744,"Validated (>0.005)",4
"KIRP-218.5.3.N.2.95.66.3.4.1","Transcript",4,"KIRP_DFI_df377, KIRP_DSS_df377, KIRP_OS_df377, KIRP_PFI_df377",4,"Boruta, XGBoost, RSF, MTLR","KIRP-218.5.3.N.2.95.66.3.4.1","(ENST00000412050 + ENST00000568293 + ENST00000306061 + ENST00000432518 + ENST00000265678 + ENST00000372292 + ENST00000264637 + ENST00000584985 + ENST00000377988 + ENST00000316509 + ENST00000488857 + ENST00000339420)",12,"KIRP",218,5,3,"N",2,95,66,3,4,1,"Meaningful Protective",4,0,0,"Apoptosis","Transcript","TSM","Underexpression",0.00826161318291824,"Validated (>0.005)",3.73871430706192,"Validated (>0.005)",0.0159394740740776,"Validated (>0.005)",0.0676491365620534,"Validated (>0.005)",4
"KIRP-613.5.3.N.1.44.44.3.4.2","Transcript",4,"KIRP_DFI_df377, KIRP_DSS_df377, KIRP_OS_df377, KIRP_PFI_df377",4,"XGBoost, Boruta, RSF, MTLR","KIRP-613.5.3.N.1.44.44.3.4.2","ENST00000297268",1,"KIRP",613,5,3,"N",1,44,44,3,4,2,"Meaningful Risky",0,4,0,"Apoptosis/Pyroptosis","Transcript","TSM","Unchanged",0.0131001046442458,"Validated (>0.005)",2.69554357888306,"Validated (>0.005)",0.0105442604593443,"Validated (>0.005)",0.0393888972516755,"Validated (>0.005)",4
"KIRP-707.5.3.P.3.44.54.3.1.4","Transcript",4,"KIRP_DFI_df377, KIRP_DSS_df377, KIRP_OS_df377, KIRP_PFI_df377",4,"RSF, XGBoost, Boruta, MTLR","KIRP-707.5.3.P.3.44.54.3.1.4","ENST00000393820",1,"KIRP",707,5,3,"P",3,44,54,3,1,4,"Meaningful Risky",0,4,0,"Apoptosis/Autophagy/Cellular senescence/Ferroptosis","Transcript","TSM","Overexpression",0.0126324998168344,"Validated (>0.005)",3.84652977232827,"Validated (>0.005)",0.0131077850042594,"Validated (>0.005)",0.0316279183412683,"Validated (>0.005)",4
"LGG-852.5.3.N.2.44.44.1.2.1","Transcript",4,"LGG_DFI_df374, LGG_DSS_df374, LGG_OS_df374, LGG_PFI_df374",4,"Boruta, XGBoost, RSF, MTLR","LGG-852.5.3.N.2.44.44.1.2.1","(ENST00000542466 + ENST00000480479 + ENST00000418865 + ENST00000532075 + ENST00000613942 + ENST00000560208 + ENST00000473822 + ENST00000592024 + ENST00000417354 + ENST00000481695 + ENST00000359370 + ENST00000508695 + ENST00000503864 + ENST00000517550 + ENST00000523364 + ENST00000517635 + ENST00000521478 + ENST00000504772 + ENST00000465120 + ENST00000460160 + ENST00000464266 + ENST00000311626 + ENST00000472863 + ENST00000513413 + ENST00000303460 + ENST00000243056 + ENST00000355906 + ENST00000398131 + ENST00000371642 + ENST00000477225 + ENST00000482462 + ENST00000506205 + ENST00000344770 + ENST00000611270 + ENST00000496748 + ENST00000266077 + ENST00000494508 + ENST00000462751 + ENST00000521970 + ENST00000472042 + ENST00000458238 + ENST00000604929)",42,"LGG",852,5,3,"N",2,44,44,1,2,1,"Meaningful Risky",0,4,0,"Apoptosis","Transcript","TSM","Underexpression",0.0103807127889302,"Validated (>0.005)",5.44973135606057,"Validated (>0.005)",0.0179268498230205,"Validated (>0.005)",0.265962245871249,"Validated (>0.005)",4
"LIHC-1064.5.3.P.3.42.63.2.4.5","Transcript",4,"LIHC_DFI_df160, LIHC_DSS_df160, LIHC_OS_df160, LIHC_PFI_df160",4,"Boruta, XGBoost, RSF, MTLR","LIHC-1064.5.3.P.3.42.63.2.4.5","ENST00000389805",1,"LIHC",1064,5,3,"P",3,42,63,2,4,5,"Risky",0,3,1,"Apoptosis/Autophagy/Ferroptosis/Parthanatos/Autosis","Transcript","TSM","Overexpression",0.00702058994855422,"Validated (>0.005)",23.6872293032486,"Validated (>0.005)",0.0158839927594918,"Validated (>0.005)",0.23063649923639,"Validated (>0.005)",4
"LIHC-272.5.3.N.3.26.26.3.4.1","Transcript",4,"LIHC_DFI_df160, LIHC_DSS_df160, LIHC_OS_df160, LIHC_PFI_df160",4,"Boruta, XGBoost, RSF, MTLR","LIHC-272.5.3.N.3.26.26.3.4.1","(ENST00000219235 + ENST00000368046 + ENST00000358647 + ENST00000418931 + ENST00000395388 + ENST00000394652 + ENST00000550948)",7,"LIHC",272,5,3,"N",3,26,26,3,4,1,"Protective",2,0,2,"Apoptosis","Transcript","TSM","Overexpression",0.00584975792102601,"Validated (>0.005)",20.3294241054216,"Validated (>0.005)",0.00666107149421145,"Validated (>0.005)",0.0828312837640806,"Validated (>0.005)",4
"LUSC-669.5.3.N.2.44.44.1.4.1","Transcript",4,"LUSC_DFI_df147, LUSC_DSS_df147, LUSC_OS_df147, LUSC_PFI_df147",4,"Boruta, XGBoost, RSF, MTLR","LUSC-669.5.3.N.2.44.44.1.4.1","(ENST00000542450 + ENST00000515399 + ENST00000245787 + ENST00000252485 + ENST00000495509 + ENST00000580497 + ENST00000358598 + ENST00000376447 + ENST00000471324 + ENST00000530607 + ENST00000612509 + ENST00000383791 + ENST00000493709)",13,"LUSC",669,5,3,"N",2,44,44,1,4,1,"Meaningful Risky",0,4,0,"Apoptosis","Transcript","TSM","Underexpression",0.00788787364996582,"Validated (>0.005)",12.2507008105532,"Validated (>0.005)",0.0108515333522041,"Validated (>0.005)",0.127198541784529,"Validated (>0.005)",4
"OV-181.5.3.N.3.1.31.2.4.1","Transcript",4,"OV_DFI_df377, OV_DSS_df377, OV_OS_df377, OV_PFI_df377",4,"XGBoost, RSF, Boruta, MTLR","OV-181.5.3.N.3.1.31.2.4.1","ENST00000256951",1,"OV",181,5,3,"N",3,1,31,2,4,1,"Risky",0,1,3,"Ferroptosis","Transcript","TSM","Overexpression",0.00812138362726704,"Validated (>0.005)",28.2719908733604,"Validated (>0.005)",0.0347418550172389,"Validated (>0.005)",0.134461941733048,"Validated (>0.005)",4
"PAAD-1084.5.2.N.3.44.43.3.4.4","Transcript",4,"PAAD_DFI_df377, PAAD_DSS_df377, PAAD_OS_df377, PAAD_PFI_df377",4,"XGBoost, Boruta, RSF, MTLR","PAAD-1084.5.2.N.3.44.43.3.4.4","ENST00000419140",1,"PAAD",1084,5,2,"N",3,44,43,3,4,4,"Meaningful Risky",0,4,0,"Anoikis/Apoptosis/Autophagy/Cellular senescence","Transcript","MSI","Overexpression",0.00693191481364202,"Validated (>0.005)",10.5768964127124,"Validated (>0.005)",0.0105824213561333,"Validated (>0.005)",0.182558732441027,"Validated (>0.005)",4
