"Cohort","Primary_Signature","Primary_Omic_Token","color_var_Partner","Partner_Omic_Token","Interaction_Strength","Spearman_HighZone_CrossTalk","PValue_HighZone","Spearman_MidZone_CrossTalk","PValue_MidZone","Mathematical_Classification"
"BLCA_DFI_df155","BLCA-920.5.3.N.2.21.20.2.4.5",5,"BLCA-46.6.3.N.2.35.44.1.4.1",6,0.01151,-0.0809,0.567375287267214,0.1838,0.0291478831336236,"NEUTRAL (Contextual Noise)"
"BLCA_DFI_df155","BLCA-820.5.3.N.2.14.4.4.4.4",5,"BLCA-920.5.3.N.2.21.20.2.4.5",5,0.00849,-0.4056,4.88464050433242e-09,NA,NA,"ANTAGONISM (Rescue/Protective Effect)"
"BLCA_DFI_df155","BLCA-202.5.3.N.2.31.31.2.4.1",5,"BLCA-434.5.3.N.2.14.11.1.4.1",5,0.019145,0.6875,4.86702745215789e-08,0.3507,0.000459623050206592,"SYNERGY (Hazard Amplification)"
"BLCA_DFI_df155","BLCA-597.6.3.P.3.2.2.2.4.2",6,"BLCA-1117.7.3.P.1.11.11.4.4.2",7,0.021355,-0.1295,0.374058452978267,0.4359,9.04631725860795e-06,"CONTEXT-DEPENDENT BIFURCATION (Three-Tiered)"
"BLCA_DFI_df155","BLCA-1117.7.3.P.1.11.11.4.4.2",7,"BLCA-597.6.3.P.3.2.2.2.4.2",6,0.021355,-0.4665,0.000829519623123901,0.0266,0.797323931503366,"ANTAGONISM (Rescue/Protective Effect)"
"BLCA_DFI_df155","BLCA-1266.6.3.N.1.20.20.1.1.2",6,"BLCA-210.5.3.N.1.1.31.3.2.2",5,0.033235,-0.3241,0.0230971011485974,-0.3397,0.000756450532712985,"ANTAGONISM (Rescue/Protective Effect)"
"BLCA_DFI_df155","BLCA-1290.6.3.N.1.20.20.3.2.3",6,"BLCA-486.6.3.N.2.44.54.1.4.1",6,0.013582,-0.3818,0.00678222784741353,-0.0977,0.343065351858627,"ANTAGONISM (Rescue/Protective Effect)"
"BLCA_DFI_df155","BLCA-1360.6.3.P.3.35.44.4.4.1",6,"BLCA-328.5.3.P.3.20.20.1.4.1",5,0.034867,-0.7761,0,0.3954,6.68724913484477e-05,"ANTAGONISM (Rescue/Protective Effect)"
"BLCA_DFI_df155","BLCA-334.5.3.N.2.20.20.2.3.1",5,"BLCA-486.6.3.N.2.44.54.1.4.1",6,0.015866,0.2762,0.0547377803538954,-0.4115,3.11499821445104e-05,"SYNERGY (Hazard Amplification)"
"BLCA_DFI_df155","BLCA-1474.6.3.N.3.20.26.3.1.2",6,"BLCA-49.6.3.N.1.31.1.3.2.2",6,0.01237,-0.0992,0.497514767256979,-0.6315,5.28701683949633e-12,"CONTEXT-DEPENDENT BIFURCATION (Three-Tiered)"
"BLCA_DFI_df155","BLCA-1074.5.3.N.1.1.5.3.4.1",5,"BLCA-1117.7.3.P.1.11.11.4.4.2",7,0.012567,0.5072,0.000208021926358305,-0.1863,0.025873024423167,"SYNERGY (Hazard Amplification)"
"BLCA_DFI_df155","BLCA-46.6.3.N.2.35.44.1.4.1",6,"BLCA-407.5.3.N.2.1.20.2.4.5",5,0.011518,-0.4915,0.000396350020811536,0.1564,0.128187330932426,"ANTAGONISM (Rescue/Protective Effect)"
"BLCA_DFI_df155","BLCA-273.5.3.N.2.26.7.1.2.1",5,"BLCA-1022.5.3.N.3.31.1.3.4.2",5,0.003407,0.3191,0.0258770661661237,0.4985,2.36063861518745e-07,"SYNERGY (Hazard Amplification)"
"BLCA_DFI_df155","BLCA-505.6.3.P.3.11.11.1.4.1",6,"BLCA-814.5.3.N.2.26.7.2.4.1",5,0.012191,0.2154,0.137110418933391,-0.0864,0.402667971698331,"SYNERGY (Hazard Amplification)"
"BLCA_DFI_df155","BLCA-1063.5.3.P.3.15.14.2.4.1",5,"BLCA-486.6.3.N.2.44.54.1.4.1",6,0.006534,0.4023,0.00442758258404291,-0.0803,0.436667602287727,"SYNERGY (Hazard Amplification)"
"BLCA_DFI_df155","BLCA-1414.7.3.N.3.69.20.2.4.2",7,"BLCA-210.5.3.N.1.1.31.3.2.2",5,0.014675,-0.6401,1.42975234396016e-06,-0.5109,1.04481206720928e-07,"ANTAGONISM (Rescue/Protective Effect)"
"BLCA_DFI_df155","BLCA-1536.4.3.N.2.1.44.1.4.2",4,"BLCA-505.6.3.P.3.11.11.1.4.1",6,0.011982,0.4314,0.00196731162417679,-0.1326,0.197769078022635,"SYNERGY (Hazard Amplification)"
"BLCA_DFI_df155","BLCA-454.7.3.N.1.62.20.4.4.1",7,"BLCA-356.5.3.N.2.35.31.1.2.1",5,0.010394,-0.2613,0.0699376631224024,-0.2739,0.0070923703910346,"ANTAGONISM (Rescue/Protective Effect)"
"BLCA_DFI_df155","BLCA-1106.7.3.P.3.44.11.4.4.1",7,"BLCA-210.5.3.N.1.1.31.3.2.2",5,0.014001,0.6318,1.12492660423146e-06,-0.578,6.98505436142347e-10,"SYNERGY (Hazard Amplification)"
"BLCA_DFI_df155","BLCA-784.5.3.N.2.7.71.3.4.2",5,"BLCA-328.5.3.P.3.20.20.1.4.1",5,0.013626,0.6874,1.65110158319868e-07,0.0847,0.406734037273994,"SYNERGY (Hazard Amplification)"
"BLCA_DFI_df155","BLCA-788.5.3.N.1.26.26.3.4.2",5,"BLCA-293.5.3.N.2.44.44.1.4.1",5,0.004405,0.4159,0.002955015030417,0.5174,5.74237683935704e-08,"SYNERGY (Hazard Amplification)"
"BLCA_DFI_df155","BLCA-486.6.3.N.2.44.54.1.4.1",6,"BLCA-334.5.3.N.2.20.20.2.3.1",5,0.015866,-0.6177,2.26823443433827e-06,0.1384,0.178444398100124,"ANTAGONISM (Rescue/Protective Effect)"
"BLCA_DFI_df155","BLCA-1175.6.2.N.1.20.20.1.2.1",6,"BLCA-210.5.3.N.1.1.31.3.2.2",5,0.015832,-0.5681,2.06474941719348e-05,-0.1817,0.0764895557052285,"ANTAGONISM (Rescue/Protective Effect)"
"BLCA_DFI_df155","BLCA-407.5.3.N.2.1.20.2.4.5",5,"BLCA-46.6.3.N.2.35.44.1.4.1",6,0.011518,-0.5669,3.02056595158161e-05,-0.0551,0.590205005900326,"ANTAGONISM (Rescue/Protective Effect)"
"BLCA_DFI_df155","BLCA-994.5.3.N.2.93.93.2.4.2",5,"BLCA-328.5.3.P.3.20.20.1.4.1",5,0.012848,0.4344,0.00199261866468398,-0.067,0.509863531153454,"SYNERGY (Hazard Amplification)"
"BLCA_DFI_df155","BLCA-667.1.3.P.3.64.20.2.4.4",1,"BLCA-1175.6.2.N.1.20.20.1.2.1",6,0.01364,0.6994,1.6055918560246e-08,0.43,1.37085347955278e-05,"SYNERGY (Hazard Amplification)"
"BLCA_DFI_df155","BLCA-929.5.3.N.2.14.4.1.4.3",5,"BLCA-814.5.3.N.2.26.7.2.4.1",5,0.010061,0.3286,0.0143155883598643,-0.3505,2.49755822127371e-05,"SYNERGY (Hazard Amplification)"
"BLCA_DFI_df155","BLCA-1169.6.3.N.1.7.26.2.4.2",6,"BLCA-328.5.3.P.3.20.20.1.4.1",5,0.004434,0.3266,0.0224247400001694,0.3428,0.000629833989322587,"SYNERGY (Hazard Amplification)"
"BLCA_DFI_df155","BLCA-875.5.3.N.2.69.93.1.4.1",5,"BLCA-1570.4.3.P.3.71.64.2.4.2",4,0.008176,0.6507,4.15039455827903e-07,0.3562,0.000342731503775821,"SYNERGY (Hazard Amplification)"
"BLCA_DFI_df155","BLCA-902.5.3.P.3.69.71.2.4.1",5,"BLCA-1117.7.3.P.1.11.11.4.4.2",7,0.005041,-0.5379,8.70982863416371e-05,0.0895,0.286012549275218,"ANTAGONISM (Rescue/Protective Effect)"
"BLCA_DFI_df155","BLCA-233.5.3.P.3.5.11.2.4.1",5,"BLCA-486.6.3.N.2.44.54.1.4.1",6,0.008181,0.4521,0.00124004720260709,-0.0211,0.838317698964769,"SYNERGY (Hazard Amplification)"
"BLCA_DFI_df155","BLCA-318.5.3.N.1.1.1.3.2.4",5,"BLCA-293.5.3.N.2.44.44.1.4.1",5,0.012058,0.8147,6.11494555537578e-13,0.4986,2.72069480500597e-07,"SYNERGY (Hazard Amplification)"
"BLCA_DFI_df155","BLCA-1046.5.3.N.2.1.20.1.4.3",5,"BLCA-859.5.3.N.2.34.14.1.4.2",5,0.00548,-0.5681,2.89443899734152e-05,0.2627,0.00146734063369957,"ANTAGONISM (Rescue/Protective Effect)"
"BLCA_DFI_df155","BLCA-567.6.3.P.3.1.1.1.4.1",6,"BLCA-287.5.3.P.3.20.20.2.4.2",5,0.0052,-0.4017,0.00421985040356624,-0.7414,5.72101065379403e-18,"ANTAGONISM (Rescue/Protective Effect)"
"BLCA_DFI_df155","BLCA-1091.6.3.P.3.5.5.2.4.2",6,"BLCA-1290.6.3.N.1.20.20.3.2.3",6,0.006239,0.0957,0.512966800182043,-0.4167,2.40853790069804e-05,"CONTEXT-DEPENDENT BIFURCATION (Three-Tiered)"
"BLCA_DFI_df155","BLCA-1051.5.3.P.3.64.93.4.4.2",5,"BLCA-1117.7.3.P.1.11.11.4.4.2",7,0.005558,-0.2863,0.0362012517469543,-0.0193,0.821588418995631,"ANTAGONISM (Rescue/Protective Effect)"
"BLCA_DFI_df155","BLCA-822.5.3.N.1.62.7.3.4.2",5,"BLCA-434.5.3.N.2.14.11.1.4.1",5,0.006286,-0.6515,2.99166494679422e-07,-0.0898,0.386986408460852,"ANTAGONISM (Rescue/Protective Effect)"
"BLCA_DFI_df155","BLCA-1520.6.3.N.2.35.1.2.4.2",6,"BLCA-1525.4.3.P.3.34.34.1.4.3",4,0.012135,-0.2891,0.0439158402872347,0.6396,2.30759057654887e-12,"ANTAGONISM (Rescue/Protective Effect)"
"BLCA_DFI_df155","BLCA-1002.5.2.N.1.95.26.1.2.3",5,"BLCA-287.5.3.P.3.20.20.2.4.2",5,0.007905,-0.3386,0.017764523688969,-0.3567,0.000360399349715286,"ANTAGONISM (Rescue/Protective Effect)"
"BLCA_DFI_df155","BLCA-522.6.3.N.2.1.31.1.4.2",6,"BLCA-434.5.3.N.2.14.11.1.4.1",5,0.00321,0.6469,5.11742684101926e-07,0.081,0.43252309737996,"SYNERGY (Hazard Amplification)"
"BLCA_DFI_df155","BLCA-823.5.3.P.1.14.5.1.2.2",5,"BLCA-1266.6.3.N.1.20.20.1.1.2",6,0.00813,-0.5582,3.0738816076112e-05,0.3465,2.09709996742759e-05,"ANTAGONISM (Rescue/Protective Effect)"
"BLCA_DFI_df155","BLCA-422.5.3.N.2.20.20.2.3.2",5,"BLCA-667.1.3.P.3.64.20.2.4.4",1,0.011562,0.4729,0.000600276397992169,-0.4313,1.14761428585248e-05,"SYNERGY (Hazard Amplification)"
"BLCA_DFI_df155","BLCA-1062.5.3.P.3.1.1.4.4.5",5,"BLCA-631.6.2.N.2.20.20.1.3.2",6,0.004325,0.6322,8.47800386242709e-07,-0.3089,0.0023179577243409,"SYNERGY (Hazard Amplification)"
"BLCA_DFI_df155","BLCA-1415.6.3.P.3.69.69.2.4.2",6,"BLCA-293.5.3.N.2.44.44.1.4.1",5,0.006137,-0.116,0.427251197596948,0.3619,0.000290636573140036,"CONTEXT-DEPENDENT BIFURCATION (Three-Tiered)"
"BLCA_DFI_df155","BLCA-654.7.3.N.1.64.20.2.4.1",7,"BLCA-943.5.3.N.1.1.20.3.2.2",5,0.005672,-0.3847,0.00667229846898318,-0.1638,0.110688207234787,"ANTAGONISM (Rescue/Protective Effect)"
"BLCA_DFI_df155","BLCA-868.5.3.P.3.14.43.2.4.1",5,"BLCA-328.5.3.P.3.20.20.1.4.1",5,0.006478,0.1188,0.400619715615959,-0.1805,0.0800368003835659,"NEUTRAL (Contextual Noise)"
"BLCA_DFI_df155","BLCA-306.5.3.N.2.35.35.2.2.2",5,"BLCA-1536.4.3.N.2.1.44.1.4.2",4,0.00264,0.3248,0.0227990444218419,0.4115,3.11515603238839e-05,"SYNERGY (Hazard Amplification)"
"BLCA_DFI_df155","BLCA-1280.7.3.P.2.62.64.1.4.1",7,"BLCA-539.4.3.N.2.35.35.1.3.2",4,0.007706,0.7182,6.26923701767634e-09,-0.3596,0.000320111802959951,"SYNERGY (Hazard Amplification)"
"BLCA_DFI_df155","BLCA-423.5.3.N.2.26.93.2.4.2",5,"BLCA-595.6.3.N.1.35.35.3.2.1",6,0.008509,-0.9023,8.47473662691817e-19,-0.2464,0.0155305518564013,"ANTAGONISM (Rescue/Protective Effect)"
"BLCA_DFI_df155","BLCA-915.5.3.N.1.20.31.3.2.6",5,"BLCA-434.5.3.N.2.14.11.1.4.1",5,0.008115,0.8332,1.11051761729322e-13,0.6062,3.72490251417896e-11,"SYNERGY (Hazard Amplification)"
"BLCA_DFI_df155","BLCA-1525.4.3.P.3.34.34.1.4.3",4,"BLCA-1520.6.3.N.2.35.1.2.4.2",6,0.012135,-0.5133,0.000162028656810559,-0.3028,0.0027104287882899,"ANTAGONISM (Rescue/Protective Effect)"
"BLCA_DFI_df155","BLCA-239.5.3.N.1.1.31.3.2.6",5,"BLCA-1570.4.3.P.3.71.64.2.4.2",4,0.021829,0.2965,0.0386071267764875,-0.1742,0.0367966619955135,"SYNERGY (Hazard Amplification)"
"BLCA_DFI_df155","BLCA-951.5.3.P.3.71.62.2.3.1",5,"BLCA-1414.7.3.N.3.69.20.2.4.2",7,0.005803,0.6511,4.06276897748958e-07,0.1645,0.109333997974088,"SYNERGY (Hazard Amplification)"
"BLCA_DFI_df155","BLCA-1364.6.3.P.3.71.71.4.4.2",6,"BLCA-168.5.3.N.2.35.35.1.4.4",5,0.006915,-0.4698,0.000577163825872853,-0.3275,0.00126421548646228,"ANTAGONISM (Rescue/Protective Effect)"
"BLCA_DFI_df155","BLCA-819.5.3.N.1.7.26.2.4.3",5,"BLCA-994.5.3.N.2.93.93.2.4.2",5,0.006565,0.4593,0.000901253608004384,-0.151,0.142008279487952,"SYNERGY (Hazard Amplification)"
"BLCA_DFI_df155","BLCA-1437.7.3.N.3.35.7.4.4.1",7,"BLCA-434.5.3.N.2.14.11.1.4.1",5,0.012468,-0.7405,1.18793904894802e-09,0.2578,0.0112328087648735,"ANTAGONISM (Rescue/Protective Effect)"
"BLCA_DFI_df155","BLCA-859.5.3.N.2.34.14.1.4.2",5,"BLCA-554.4.3.P.3.64.71.2.2.2",4,0.005674,-0.315,0.0275063060491471,0.1809,0.0777089191183124,"ANTAGONISM (Rescue/Protective Effect)"
"BLCA_DFI_df155","BLCA-1385.6.3.P.3.5.5.4.4.3",6,"BLCA-654.7.3.N.1.64.20.2.4.1",7,0.004198,0.5624,2.60424920011032e-05,0.3601,0.000313429149717277,"SYNERGY (Hazard Amplification)"
"BLCA_DFI_df155","BLCA-1285.7.3.N.3.87.7.1.4.1",7,"BLCA-1039.5.3.P.3.2.9.1.4.2",5,0.006359,0.6762,7.08496302379341e-08,0.1408,0.173590728799292,"SYNERGY (Hazard Amplification)"
"BLCA_DFI_df155","BLCA-168.5.3.N.2.35.35.1.4.4",5,"BLCA-814.5.3.N.2.26.7.2.4.1",5,0.010872,-0.3864,0.00609598618867217,-0.1599,0.119673736667229,"ANTAGONISM (Rescue/Protective Effect)"
"BLCA_DFI_df155","BLCA-1015.5.3.P.3.71.64.2.4.2",5,"BLCA-1570.4.3.P.3.71.64.2.4.2",4,0.017931,-0.7298,2.7032704828574e-09,0.0169,0.870103459864997,"ANTAGONISM (Rescue/Protective Effect)"
"BLCA_DFI_df155","BLCA-741.5.3.N.1.20.20.3.1.3",5,"BLCA-998.5.3.N.2.35.14.2.4.4",5,0.00288,0.2289,0.113617726370533,-0.0809,0.433137789770293,"SYNERGY (Hazard Amplification)"
"BLCA_DFI_df155","BLCA-783.5.3.N.1.30.30.3.2.2",5,"BLCA-1570.4.3.P.3.71.64.2.4.2",4,0.010385,0.5944,6.69151716984182e-06,0.0318,0.751060106332875,"SYNERGY (Hazard Amplification)"
"BLCA_DFI_df155","BLCA-41.7.3.N.1.20.7.3.1.1",7,"BLCA-434.5.3.N.2.14.11.1.4.1",5,0.006847,0.7277,3.15564700284701e-09,0.5025,1.82148252216474e-07,"SYNERGY (Hazard Amplification)"
"BLCA_DFI_df155","BLCA-774.5.3.N.2.31.1.1.4.4",5,"BLCA-82.2.1.P.2.35.2.1.2.1",2,0.005154,0.33,0.0205914654072667,0.4307,1.1875176856233e-05,"SYNERGY (Hazard Amplification)"
"BLCA_DFI_df155","BLCA-307.5.3.P.3.64.64.2.4.1",5,"BLCA-1266.6.3.N.1.20.20.1.1.2",6,0.006074,0.3906,0.00552163448246791,-0.059,0.567942149164501,"SYNERGY (Hazard Amplification)"
"BLCA_DFI_df155","BLCA-356.5.3.N.2.35.31.1.2.1",5,"BLCA-454.7.3.N.1.62.20.4.4.1",7,0.010394,-0.5316,8.46168157185278e-05,0.2748,0.00661123473646171,"ANTAGONISM (Rescue/Protective Effect)"
"BLCA_DFI_df155","BLCA-780.5.2.N.2.95.28.2.3.1",5,"BLCA-434.5.3.N.2.14.11.1.4.1",5,0.006257,0.7547,2.45075362640207e-10,0.3002,0.0031181247831025,"SYNERGY (Hazard Amplification)"
"BLCA_DFI_df155","BLCA-742.5.3.P.1.4.34.4.4.1",5,"BLCA-434.5.3.N.2.14.11.1.4.1",5,0.004272,-0.6157,2.49158679763572e-06,0.4195,1.66092021427467e-07,"ANTAGONISM (Rescue/Protective Effect)"
"BLCA_DFI_df155","BLCA-1558.4.3.P.3.62.62.2.4.1",4,"BLCA-597.6.3.P.3.2.2.2.4.2",6,0.003316,0.1334,0.360910339708667,0.2676,0.00839256650185571,"CONTEXT-DEPENDENT BIFURCATION (Three-Tiered)"
"BLCA_DFI_df155","BLCA-800.5.3.N.2.11.14.1.4.3",5,"BLCA-1474.6.3.N.3.20.26.3.1.2",6,0.006125,0.7409,1.15360263452309e-09,-0.4065,3.60765702901532e-05,"SYNERGY (Hazard Amplification)"
"BLCA_DFI_df155","BLCA-412.5.3.P.3.35.35.1.4.1",5,"BLCA-1051.5.3.P.3.64.93.4.4.2",5,0.004012,-0.1161,0.427000630035944,0.292,0.00389752715445801,"CONTEXT-DEPENDENT BIFURCATION (Three-Tiered)"
"BLCA_DFI_df155","BLCA-848.5.3.N.2.35.35.2.2.3",5,"BLCA-318.5.3.N.1.1.1.3.2.4",5,0.00431,0.2718,0.0588416108528864,-0.3644,0.000262492177186387,"SYNERGY (Hazard Amplification)"
"BLCA_DFI_df155","BLCA-107.6.3.N.2.35.34.1.4.2",6,"BLCA-814.5.3.N.2.26.7.2.4.1",5,0.005233,0.2561,0.0757119088840433,-0.394,7.12434039478753e-05,"SYNERGY (Hazard Amplification)"
"BLCA_DFI_df155","BLCA-303.5.3.N.1.20.20.3.1.2",5,"BLCA-1215.6.3.N.2.44.35.2.4.3",6,0.003666,0.5411,5.96151713882161e-05,0.4512,3.9476579436377e-06,"SYNERGY (Hazard Amplification)"
"BLCA_DFI_df155","BLCA-151.6.3.N.2.35.35.1.2.1",6,"BLCA-1117.7.3.P.1.11.11.4.4.2",7,0.005766,0.6203,1.99420110658826e-06,-0.2056,0.0444399358977921,"SYNERGY (Hazard Amplification)"
"BLCA_DFI_df155","BLCA-1013.5.3.N.2.1.31.2.4.5",5,"BLCA-1106.7.3.P.3.44.11.4.4.1",7,0.003035,-0.0921,0.528979706165306,0.5206,2.24594903583459e-11,"CONTEXT-DEPENDENT BIFURCATION (Three-Tiered)"
"BLCA_DFI_df155","BLCA-415.5.3.N.2.20.34.2.2.1",5,"BLCA-293.5.3.N.2.44.44.1.4.1",5,0.004064,0.5096,0.000157030375198054,0.2839,0.00530346347721234,"SYNERGY (Hazard Amplification)"
"BLCA_DFI_df155","BLCA-874.5.3.N.3.20.26.3.1.2",5,"BLCA-328.5.3.P.3.20.20.1.4.1",5,0.007047,-0.6283,1.33951087962888e-06,-0.6992,2.30884961283429e-15,"ANTAGONISM (Rescue/Protective Effect)"
"BLCA_DFI_df155","BLCA-827.5.2.N.1.71.7.1.1.2",5,"BLCA-210.5.3.N.1.1.31.3.2.2",5,0.00543,-0.4524,0.00109983606248768,-0.1267,0.218074716952024,"ANTAGONISM (Rescue/Protective Effect)"
"BLCA_DFI_df155","BLCA-1388.7.3.N.3.62.20.4.4.2",7,"BLCA-210.5.3.N.1.1.31.3.2.2",5,0.006736,-0.4526,0.00109409385490711,-0.0042,0.967408394368024,"ANTAGONISM (Rescue/Protective Effect)"
"BLCA_DFI_df155","BLCA-639.6.2.N.1.93.26.1.1.1",6,"BLCA-1074.5.3.N.1.1.5.3.4.1",5,0.010077,-0.7207,5.24897277958241e-09,-0.5036,1.69553869778923e-07,"ANTAGONISM (Rescue/Protective Effect)"
"BLCA_DFI_df155","BLCA-418.5.3.N.1.1.31.3.1.3",5,"BLCA-1039.5.3.P.3.2.9.1.4.2",5,0.003388,-0.742,1.06025130460292e-09,-0.5577,3.56847926236296e-09,"ANTAGONISM (Rescue/Protective Effect)"
"BLCA_DFI_df155","BLCA-410.5.3.P.3.71.64.1.4.2",5,"BLCA-287.5.3.P.3.20.20.2.4.2",5,0.003205,-0.234,0.105626408582114,-0.2786,0.0059768332762642,"ANTAGONISM (Rescue/Protective Effect)"
